path,iamgeName,ImageNorth,ImageEast,ImageLenght,ImageWidth,DateTime,AverageSpeedInteger,AvgEIRI,AvgCIRI,ImageElevation
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30048524_31050669_20180825063809_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.04852472,31.05066972,1440,2560,8/25/2018 6:38,58,1.4,0.9,122
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30048533_31050544_20180825063810_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.04853333,31.05054417,1440,2560,8/25/2018 6:38,43,1.3,0.8,122
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30049235_31056167_20180825063733_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.04923556,31.05616722,1440,2560,8/25/2018 6:37,62,1.4,1.1,116
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30049476_31057197_20180825063727_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.04947667,31.0571975,1440,2560,8/25/2018 6:37,69,2.9,2.2,139
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30049878_31058222_20180825063722_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.04987833,31.05822194,1440,2560,8/25/2018 6:37,74,1.5,1.4,136
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30050101_31058811_20180825063719_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05010111,31.05881111,1440,2560,8/25/2018 6:37,89,1.2,1.1,136
,,,,,,,,,,
H:/Master Research/04-Proposal for Methodology/Roadroid Survey/04- 25-08-2018 Cairo-Alex Disert Road,867363024672796_30051046_31046404_20180825063835_0_M_a9756477-e1a1-423b-9969-46eeffe1838b.jpg,30.05104667,31.04640417,1440,2560,8/25/2018 6:38,48,1.5,0.9,97
,,,,,,,,,,
